Date,Price,Open,High,Low,Vol.,Change %
22-Mar-19,0.665,0.665,0.665,0.665,1.00K,0.00%
21-Mar-19,0.665,0.68,0.68,0.665,2.00K,0.00%
13-Mar-19,0.665,0.665,0.665,0.665,2.60K,0.00%
11-Mar-19,0.665,0.665,0.665,0.665,3.50K,0.00%
05-Mar-19,0.665,0.66,0.665,0.66,309.50K,1.53%
25-Feb-19,0.655,0.655,0.655,0.655,1.00K,0.00%
19-Feb-19,0.655,0.655,0.7,0.655,21.60K,0.00%
18-Feb-19,0.655,0.655,0.655,0.655,1.30K,0.00%
15-Feb-19,0.655,0.655,0.655,0.655,1.00K,0.00%
07-Feb-19,0.655,0.655,0.655,0.655,2.60K,0.00%
04-Feb-19,0.655,0.655,0.655,0.655,2.60K,0.00%
28-Jan-19,0.655,0.655,0.655,0.655,2.60K,0.00%
25-Jan-19,0.655,0.655,0.655,0.655,1.30K,0.00%
24-Jan-19,0.655,0.655,0.655,0.655,10.40K,0.00%
23-Jan-19,0.655,0.655,0.655,0.655,9.00K,-0.76%
09-Jan-19,0.66,0.66,0.66,0.66,5.00K,1.54%
