Date,Price,Open,High,Low,Vol.,Change %
"Mar 28, 2019",0.155,0.155,0.155,0.155,7.00K,0.00%
"Mar 27, 2019",0.155,0.155,0.155,0.155,60.00K,0.00%
"Mar 26, 2019",0.155,0.155,0.155,0.155,125.00K,0.00%
"Mar 25, 2019",0.155,0.15,0.17,0.15,635.00K,0.00%
"Mar 22, 2019",0.155,0.15,0.155,0.15,34.20K,3.33%
"Mar 21, 2019",0.15,0.15,0.15,0.15,75.70K,-3.23%
"Mar 20, 2019",0.155,0.155,0.155,0.155,124.80K,0.00%
"Mar 19, 2019",0.155,0.155,0.16,0.15,176.00K,0.00%
"Mar 18, 2019",0.155,0.155,0.155,0.155,461.50K,0.00%
"Mar 15, 2019",0.155,0.155,0.16,0.155,182.70K,-3.12%
"Mar 14, 2019",0.16,0.155,0.16,0.155,113.50K,0.00%
"Mar 13, 2019",0.16,0.16,0.16,0.155,1.84M,-3.03%
"Mar 12, 2019",0.165,0.165,0.17,0.16,132.00K,0.00%
"Mar 11, 2019",0.165,0.165,0.165,0.165,1.00K,0.00%
"Mar 08, 2019",0.165,0.165,0.175,0.16,1.39M,0.00%
"Mar 07, 2019",0.165,0.155,0.18,0.155,11.25M,6.45%
"Mar 06, 2019",0.155,0.155,0.155,0.155,63.00K,0.00%
"Mar 05, 2019",0.155,0.155,0.155,0.155,82.00K,0.00%
"Mar 04, 2019",0.155,0.165,0.165,0.155,188.30K,-6.06%
"Mar 01, 2019",0.165,0.16,0.165,0.16,118.00K,3.13%
"Feb 28, 2019",0.16,0.16,0.165,0.16,474.20K,0.00%
"Feb 27, 2019",0.16,0.165,0.165,0.16,32.80K,-3.03%
"Feb 26, 2019",0.165,0.16,0.17,0.16,298.90K,3.13%
"Feb 25, 2019",0.16,0.16,0.165,0.155,1.88M,3.23%
"Feb 22, 2019",0.155,0.16,0.16,0.155,546.50K,-3.12%
"Feb 21, 2019",0.16,0.16,0.165,0.155,2.17M,0.00%
"Feb 20, 2019",0.16,0.17,0.17,0.16,793.20K,-3.03%
"Feb 19, 2019",0.165,0.165,0.165,0.165,489.40K,0.00%
"Feb 18, 2019",0.165,0.16,0.165,0.16,387.80K,3.13%
"Feb 15, 2019",0.16,0.16,0.16,0.155,271.30K,0.00%
"Feb 14, 2019",0.16,0.16,0.16,0.16,292.00K,3.23%
"Feb 13, 2019",0.155,0.16,0.16,0.155,4.10M,-3.12%
"Feb 12, 2019",0.16,0.16,0.16,0.16,19.00K,0.00%
"Feb 11, 2019",0.16,0.155,0.16,0.155,83.00K,0.00%
"Feb 08, 2019",0.16,0.155,0.16,0.155,4.49M,3.23%
"Feb 07, 2019",0.155,0.16,0.16,0.155,70.50K,-3.12%
"Feb 04, 2019",0.16,0.16,0.16,0.16,0.10K,3.23%
"Jan 31, 2019",0.155,0.155,0.165,0.15,3.01M,0.00%
"Jan 30, 2019",0.155,0.16,0.16,0.155,133.00K,0.00%
"Jan 28, 2019",0.155,0.15,0.155,0.15,43.50K,3.33%
"Jan 25, 2019",0.15,0.165,0.165,0.15,301.00K,-9.09%
"Jan 24, 2019",0.165,0.15,0.175,0.15,1.81M,13.79%
"Jan 23, 2019",0.145,0.145,0.145,0.145,120.00K,3.57%
"Jan 22, 2019",0.14,0.14,0.145,0.14,9.70K,-3.45%
"Jan 18, 2019",0.145,0.145,0.145,0.145,30.00K,0.00%
"Jan 17, 2019",0.145,0.145,0.145,0.145,6.70K,-3.33%
"Jan 16, 2019",0.15,0.14,0.15,0.135,461.60K,7.14%
"Jan 15, 2019",0.14,0.14,0.14,0.14,3.20K,0.00%
"Jan 14, 2019",0.14,0.14,0.145,0.14,390.00K,-3.45%
"Jan 11, 2019",0.145,0.145,0.145,0.145,20.00K,0.00%
"Jan 10, 2019",0.145,0.14,0.145,0.14,105.00K,3.57%
"Jan 09, 2019",0.14,0.145,0.15,0.14,697.80K,-3.45%
"Jan 08, 2019",0.145,0.145,0.145,0.145,172.00K,0.00%
"Jan 07, 2019",0.145,0.15,0.15,0.145,16.00K,0.00%
"Jan 04, 2019",0.145,0.15,0.15,0.145,296.60K,-3.33%
"Jan 03, 2019",0.15,0.16,0.16,0.15,269.20K,-6.25%
"Jan 02, 2019",0.16,0.15,0.16,0.15,2.60M,10.34%
