Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",1.53,1.52,1.58,1.52,3.76M,0.00%
"Mar 28, 2019",1.53,1.5,1.53,1.49,1.34M,2.68%
"Mar 27, 2019",1.49,1.5,1.52,1.48,1.56M,-2.61%
"Mar 26, 2019",1.53,1.5,1.54,1.5,1.10M,2.68%
"Mar 25, 2019",1.49,1.54,1.55,1.49,3.39M,-3.87%
"Mar 22, 2019",1.55,1.55,1.57,1.55,1.60M,-1.27%
"Mar 21, 2019",1.57,1.57,1.58,1.55,2.07M,-0.63%
"Mar 20, 2019",1.58,1.61,1.61,1.55,3.24M,-1.25%
"Mar 19, 2019",1.6,1.59,1.61,1.58,861.70K,0.63%
"Mar 18, 2019",1.59,1.56,1.6,1.55,798.60K,2.58%
"Mar 15, 2019",1.55,1.54,1.6,1.53,3.36M,0.65%
"Mar 14, 2019",1.54,1.52,1.57,1.5,3.21M,1.32%
"Mar 13, 2019",1.52,1.55,1.56,1.5,1.68M,-1.30%
"Mar 12, 2019",1.54,1.58,1.6,1.54,2.18M,-3.14%
"Mar 11, 2019",1.59,1.61,1.62,1.59,124.10K,-1.24%
"Mar 08, 2019",1.61,1.58,1.62,1.58,1.35M,1.90%
"Mar 07, 2019",1.58,1.6,1.6,1.57,1.40M,-1.86%
"Mar 06, 2019",1.61,1.64,1.66,1.6,2.09M,-2.42%
"Mar 05, 2019",1.65,1.64,1.65,1.64,1.01M,0.00%
"Mar 04, 2019",1.65,1.64,1.66,1.64,1.91M,0.61%
"Mar 01, 2019",1.64,1.64,1.65,1.63,3.24M,0.00%
"Feb 28, 2019",1.64,1.65,1.66,1.62,7.53M,-0.61%
"Feb 27, 2019",1.65,1.65,1.65,1.63,2.69M,0.00%
"Feb 26, 2019",1.65,1.65,1.67,1.62,4.34M,0.61%
"Feb 25, 2019",1.64,1.65,1.67,1.64,4.67M,-0.61%
"Feb 22, 2019",1.65,1.67,1.68,1.64,3.05M,-0.60%
"Feb 21, 2019",1.66,1.66,1.68,1.65,2.04M,0.00%
"Feb 20, 2019",1.66,1.64,1.67,1.64,4.28M,1.22%
"Feb 19, 2019",1.64,1.62,1.64,1.6,3.47M,1.86%
"Feb 18, 2019",1.61,1.6,1.62,1.58,8.57M,0.62%
"Feb 15, 2019",1.6,1.57,1.6,1.56,1.90M,1.91%
"Feb 14, 2019",1.57,1.59,1.59,1.53,7.19M,-0.63%
"Feb 13, 2019",1.58,1.65,1.66,1.56,11.39M,-4.24%
"Feb 12, 2019",1.65,1.67,1.68,1.63,3.58M,-1.20%
"Feb 11, 2019",1.67,1.69,1.69,1.64,2.42M,-0.60%
"Feb 08, 2019",1.68,1.66,1.68,1.63,1.09M,1.82%
"Feb 07, 2019",1.65,1.68,1.69,1.65,1.47M,-0.60%
"Feb 04, 2019",1.66,1.67,1.7,1.66,1.35M,-1.19%
"Jan 31, 2019",1.68,1.66,1.68,1.64,6.31M,1.82%
"Jan 30, 2019",1.65,1.66,1.68,1.63,4.06M,0.00%
"Jan 29, 2019",1.65,1.67,1.68,1.63,4.88M,-1.20%
"Jan 28, 2019",1.67,1.63,1.7,1.6,7.74M,1.83%
"Jan 25, 2019",1.64,1.57,1.64,1.55,4.74M,5.13%
"Jan 24, 2019",1.56,1.48,1.58,1.48,4.28M,5.41%
"Jan 23, 2019",1.48,1.45,1.48,1.45,804.00K,2.07%
"Jan 22, 2019",1.45,1.51,1.53,1.44,3.49M,-3.33%
"Jan 18, 2019",1.5,1.5,1.52,1.49,2.21M,0.00%
"Jan 17, 2019",1.5,1.5,1.5,1.48,2.21M,1.35%
"Jan 16, 2019",1.48,1.48,1.51,1.47,4.86M,0.00%
"Jan 15, 2019",1.48,1.48,1.51,1.48,1.30M,-0.67%
"Jan 14, 2019",1.49,1.53,1.55,1.48,797.30K,-2.61%
"Jan 11, 2019",1.53,1.49,1.53,1.48,2.34M,2.00%
"Jan 10, 2019",1.5,1.52,1.54,1.47,3.61M,-1.32%
"Jan 09, 2019",1.52,1.44,1.54,1.42,14.57M,7.04%
"Jan 08, 2019",1.42,1.41,1.48,1.41,7.27M,1.43%
"Jan 07, 2019",1.4,1.36,1.43,1.34,8.04M,2.94%
"Jan 04, 2019",1.36,1.33,1.39,1.32,2.91M,2.26%
"Jan 03, 2019",1.33,1.32,1.34,1.31,5.04M,0.76%
"Jan 02, 2019",1.32,1.32,1.33,1.31,2.73M,1.54%
