Target Var,Date,Price,Open,High,Low,Vol.,Change %
1,"Mar 29, 2019",4.15,4.1,4.17,4.1,4.70M,0.73%
1,"Mar 28, 2019",4.12,4.1,4.12,4.07,1.54M,0.00%
1,"Mar 27, 2019",4.12,4.17,4.17,4.08,5.04M,-1.44%
1,"Mar 26, 2019",4.18,4.15,4.2,4.15,4.76M,0.00%
1,"Mar 25, 2019",4.18,4.14,4.18,4.12,3.69M,-2.11%
1,"Mar 22, 2019",4.27,4.18,4.27,4.18,3.49M,1.43%
1,"Mar 21, 2019",4.21,4.24,4.24,4.13,5.97M,0.00%
1,"Mar 20, 2019",4.21,4.29,4.29,4.16,1.25M,0.48%
1,"Mar 19, 2019",4.19,4.25,4.29,4.17,856.80K,-1.41%
1,"Mar 18, 2019",4.25,4.19,4.28,4.19,1.97M,1.19%
1,"Mar 15, 2019",4.2,4.13,4.2,4.11,7.57M,0.96%
1,"Mar 14, 2019",4.16,4.16,4.22,4.14,1.29M,-1.42%
1,"Mar 13, 2019",4.22,4.09,4.22,4.09,2.45M,3.94%
1,"Mar 12, 2019",4.06,4.04,4.1,4.04,3.12M,-0.49%
1,"Mar 11, 2019",4.08,4.16,4.17,4.03,3.60M,-1.92%
1,"Mar 08, 2019",4.16,4.12,4.19,4.12,3.20M,-0.72%
1,"Mar 07, 2019",4.19,4.12,4.2,4.12,1.20M,0.72%
1,"Mar 06, 2019",4.16,4.14,4.19,4.14,2.22M,0.48%
1,"Mar 05, 2019",4.14,4.1,4.17,4.05,2.44M,-0.24%
1,"Mar 04, 2019",4.15,4.14,4.22,4.13,4.82M,-0.95%
1,"Mar 01, 2019",4.19,4.18,4.23,4.12,3.10M,0.72%
1,"Feb 28, 2019",4.16,4.09,4.17,4.05,5.14M,1.71%
1,"Feb 27, 2019",4.09,4.09,4.1,4.05,3.59M,-0.73%
1,"Feb 26, 2019",4.12,4.17,4.17,4.08,4.38M,-1.20%
1,"Feb 25, 2019",4.17,4.01,4.19,4.01,5.89M,-1.88%
1,"Feb 22, 2019",4.25,4.29,4.3,4.23,4.69M,-1.16%
1,"Feb 21, 2019",4.3,4.3,4.37,4.24,5.78M,-0.23%
1,"Feb 20, 2019",4.31,4.12,4.34,4.11,6.72M,4.87%
1,"Feb 19, 2019",4.11,4.03,4.12,4.02,8.06M,2.49%
1,"Feb 18, 2019",4.01,3.99,4.03,3.97,10.00M,1.78%
1,"Feb 15, 2019",3.94,3.93,3.95,3.88,7.06M,-0.25%
1,"Feb 14, 2019",3.95,3.9,3.95,3.86,5.07M,1.54%
1,"Feb 13, 2019",3.89,3.88,3.95,3.88,5.45M,-1.27%
1,"Feb 12, 2019",3.94,3.86,3.95,3.83,4.88M,2.87%
1,"Feb 11, 2019",3.83,3.74,3.85,3.71,4.02M,2.68%
1,"Feb 08, 2019",3.73,3.8,3.8,3.7,14.22M,-4.36%
1,"Feb 07, 2019",3.9,4.02,4.08,3.87,8.85M,-2.99%
1,"Feb 04, 2019",4.02,4.1,4.1,4.01,1.22M,0.25%
1,"Jan 31, 2019",4.01,4.08,4.1,3.98,7.77M,-0.74%
1,"Jan 30, 2019",4.04,3.99,4.08,3.99,4.17M,2.02%
1,"Jan 29, 2019",3.96,4.14,4.14,3.96,9.34M,-4.35%
1,"Jan 28, 2019",4.14,4.1,4.15,4.07,6.36M,1.47%
1,"Jan 25, 2019",4.08,4.08,4.1,4.05,3.86M,1.24%
1,"Jan 24, 2019",4.03,4.05,4.08,4,2.53M,-1.23%
1,"Jan 23, 2019",4.08,4.11,4.11,4.02,1.91M,-0.97%
1,"Jan 22, 2019",4.12,4.1,4.17,4.09,4.02M,1.48%
1,"Jan 18, 2019",4.06,4,4.07,4,6.69M,1.25%
1,"Jan 17, 2019",4.01,4.01,4.05,4,2.18M,0.25%
1,"Jan 16, 2019",4,3.92,4.01,3.92,2.11M,1.27%
1,"Jan 15, 2019",3.95,3.93,3.97,3.91,3.58M,-1.25%
1,"Jan 14, 2019",4,4.01,4.01,3.95,1.60M,-0.25%
1,"Jan 11, 2019",4.01,4.03,4.03,3.99,4.47M,0.25%
1,"Jan 10, 2019",4,4,4.03,3.96,4.20M,1.78%
1,"Jan 09, 2019",3.93,3.91,4.02,3.91,4.86M,0.51%
1,"Jan 08, 2019",3.91,3.84,3.96,3.82,2.69M,2.62%
1,"Jan 07, 2019",3.81,3.8,3.83,3.77,3.89M,0.26%
1,"Jan 04, 2019",3.8,3.83,3.83,3.77,1.64M,-0.52%
1,"Jan 03, 2019",3.82,3.82,3.87,3.79,2.70M,1.33%
1,"Jan 02, 2019",3.77,3.93,3.93,3.77,2.07M,-4.07%
