Date,Price,Open,High,Low,Vol.,Change %
"Mar 25, 2019",0.15,0.15,0.15,0.15,7.30K,0.00%
"Mar 21, 2019",0.15,0.165,0.165,0.15,91.70K,0.00%
"Mar 20, 2019",0.15,0.145,0.2,0.14,44.90K,-25.00%
"Mar 15, 2019",0.2,0.145,0.2,0.145,5.20K,17.65%
"Mar 14, 2019",0.17,0.17,0.17,0.17,35.40K,-2.86%
"Mar 11, 2019",0.175,0.175,0.22,0.15,138.00K,-16.67%
"Mar 08, 2019",0.21,0.165,0.21,0.165,10.40K,0.00%
"Mar 05, 2019",0.21,0.17,0.21,0.165,1.00K,0.00%
"Feb 28, 2019",0.21,0.175,0.21,0.175,0.90K,7.69%
"Feb 26, 2019",0.195,0.195,0.195,0.195,0.10K,0.00%
"Feb 20, 2019",0.195,0.175,0.195,0.175,0.40K,11.43%
"Feb 18, 2019",0.175,0.175,0.195,0.175,22.50K,2.94%
"Feb 15, 2019",0.17,0.17,0.17,0.17,3.80K,-32.00%
"Feb 14, 2019",0.25,0.18,0.25,0.18,9.50K,16.28%
"Feb 13, 2019",0.215,0.21,0.215,0.21,15.60K,4.88%
"Feb 12, 2019",0.205,0.2,0.205,0.2,15.00K,10.81%
"Feb 11, 2019",0.185,0.18,0.22,0.175,11.70K,-19.57%
"Feb 08, 2019",0.23,0.23,0.23,0.23,10.00K,0.00%
"Feb 07, 2019",0.23,0.16,0.23,0.16,164.30K,76.92%
"Feb 04, 2019",0.13,0.17,0.23,0.12,107.70K,-43.48%
"Jan 31, 2019",0.23,0.16,0.23,0.155,2.10K,0.00%
"Jan 29, 2019",0.23,0.175,0.23,0.175,0.30K,0.00%
"Jan 28, 2019",0.23,0.155,0.23,0.155,1.20K,0.00%
"Jan 22, 2019",0.23,0.175,0.23,0.17,2.70K,0.00%
"Jan 18, 2019",0.23,0.175,0.23,0.175,1.70K,4.55%
"Jan 16, 2019",0.22,0.18,0.22,0.17,1.20K,-4.35%
"Jan 15, 2019",0.23,0.23,0.23,0.23,1.10K,0.00%
"Jan 14, 2019",0.23,0.18,0.23,0.18,3.70K,6.98%
"Jan 04, 2019",0.215,0.215,0.215,0.215,5.10K,0.00%
"Jan 03, 2019",0.215,0.205,0.215,0.185,7.60K,-2.27%
