Target Var,Date,Price,Open,High,Low,Vol.,Change %
1,"Mar 29, 2019",4.55,4.62,4.68,4.52,4.44M,-1.09%
1,"Mar 28, 2019",4.6,4.59,4.62,4.58,3.90M,0.22%
1,"Mar 27, 2019",4.59,4.6,4.63,4.59,1.62M,-0.43%
1,"Mar 26, 2019",4.61,4.66,4.66,4.58,3.05M,0.66%
1,"Mar 25, 2019",4.58,4.56,4.62,4.56,1.14M,-1.51%
1,"Mar 22, 2019",4.65,4.56,4.65,4.56,2.00M,0.87%
1,"Mar 21, 2019",4.61,4.67,4.67,4.61,3.38M,-1.07%
1,"Mar 20, 2019",4.66,4.65,4.68,4.58,2.53M,0.22%
1,"Mar 19, 2019",4.65,4.68,4.69,4.65,1.31M,-0.43%
1,"Mar 18, 2019",4.67,4.6,4.67,4.6,5.41M,1.08%
1,"Mar 15, 2019",4.62,4.51,4.64,4.51,9.30M,1.99%
1,"Mar 14, 2019",4.53,4.48,4.57,4.48,3.21M,-0.44%
1,"Mar 13, 2019",4.55,4.54,4.57,4.53,1.78M,0.44%
1,"Mar 12, 2019",4.53,4.52,4.57,4.51,838.80K,0.44%
1,"Mar 11, 2019",4.51,4.54,4.57,4.51,1.97M,-1.10%
1,"Mar 08, 2019",4.56,4.57,4.66,4.54,2.94M,0.00%
1,"Mar 07, 2019",4.56,4.54,4.6,4.54,2.68M,-0.22%
1,"Mar 06, 2019",4.57,4.56,4.58,4.54,2.64M,0.22%
1,"Mar 05, 2019",4.56,4.53,4.61,4.53,2.89M,-0.44%
1,"Mar 04, 2019",4.58,4.52,4.69,4.52,2.07M,0.44%
1,"Mar 01, 2019",4.56,4.57,4.62,4.54,2.07M,0.22%
1,"Feb 28, 2019",4.55,4.63,4.65,4.53,5.93M,-2.36%
1,"Feb 27, 2019",4.66,4.66,4.7,4.65,2.43M,-1.06%
1,"Feb 26, 2019",4.71,4.71,4.72,4.67,5.65M,0.00%
1,"Feb 25, 2019",4.71,4.71,4.72,4.68,5.45M,0.86%
1,"Feb 22, 2019",4.67,4.68,4.7,4.63,5.72M,-0.64%
1,"Feb 21, 2019",4.7,4.73,4.73,4.69,3.21M,-0.42%
1,"Feb 20, 2019",4.72,4.72,4.73,4.68,6.40M,0.64%
1,"Feb 19, 2019",4.69,4.68,4.7,4.65,4.39M,1.08%
1,"Feb 18, 2019",4.64,4.65,4.68,4.63,1.83M,0.65%
1,"Feb 15, 2019",4.61,4.64,4.66,4.59,3.50M,0.66%
1,"Feb 14, 2019",4.58,4.56,4.64,4.55,3.59M,0.44%
1,"Feb 13, 2019",4.56,4.55,4.63,4.55,1.72M,-0.44%
1,"Feb 12, 2019",4.58,4.58,4.59,4.54,3.40M,0.66%
1,"Feb 11, 2019",4.55,4.6,4.6,4.55,1.29M,-0.66%
1,"Feb 08, 2019",4.58,4.6,4.61,4.56,2.89M,-0.43%
1,"Feb 07, 2019",4.6,4.7,4.7,4.55,3.97M,-0.43%
1,"Feb 04, 2019",4.62,4.7,4.75,4.61,1.74M,-0.86%
1,"Jan 31, 2019",4.66,4.69,4.7,4.62,8.22M,2.19%
1,"Jan 30, 2019",4.56,4.63,4.63,4.53,3.61M,-1.08%
1,"Jan 29, 2019",4.61,4.6,4.64,4.57,4.37M,0.22%
1,"Jan 28, 2019",4.6,4.59,4.74,4.56,3.78M,1.10%
1,"Jan 25, 2019",4.55,4.55,4.55,4.53,3.30M,0.44%
1,"Jan 24, 2019",4.53,4.52,4.53,4.49,2.37M,0.22%
1,"Jan 23, 2019",4.52,4.5,4.52,4.46,2.32M,0.00%
1,"Jan 22, 2019",4.52,4.52,4.53,4.48,3.38M,0.44%
1,"Jan 18, 2019",4.5,4.51,4.51,4.45,2.32M,0.00%
1,"Jan 17, 2019",4.5,4.49,4.52,4.45,2.39M,0.67%
1,"Jan 16, 2019",4.47,4.42,4.48,4.42,2.38M,0.00%
1,"Jan 15, 2019",4.47,4.49,4.49,4.44,3.40M,-0.22%
1,"Jan 14, 2019",4.48,4.44,4.48,4.4,3.48M,0.90%
1,"Jan 11, 2019",4.44,4.47,4.47,4.41,5.46M,0.23%
1,"Jan 10, 2019",4.43,4.47,4.48,4.41,4.44M,-0.45%
1,"Jan 09, 2019",4.45,4.48,4.49,4.42,3.80M,0.23%
1,"Jan 08, 2019",4.44,4.46,4.47,4.42,3.68M,-0.67%
1,"Jan 07, 2019",4.47,4.48,4.5,4.42,3.04M,0.45%
1,"Jan 04, 2019",4.45,4.44,4.48,4.42,1.50M,0.00%
1,"Jan 03, 2019",4.45,4.49,4.5,4.4,3.70M,0.68%
1,"Jan 02, 2019",4.42,4.5,4.5,4.36,1.01M,-1.78%
