Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",0.305,0.3,0.305,0.295,94.00K,1.67%
"Mar 28, 2019",0.3,0.285,0.3,0.285,220.20K,3.45%
"Mar 27, 2019",0.29,0.29,0.29,0.29,20.00K,0.00%
"Mar 26, 2019",0.29,0.28,0.29,0.28,61.20K,3.57%
"Mar 25, 2019",0.28,0.28,0.28,0.28,28.00K,-6.67%
"Mar 22, 2019",0.3,0.295,0.3,0.29,219.90K,0.00%
"Mar 21, 2019",0.3,0.295,0.3,0.295,33.60K,0.00%
"Mar 20, 2019",0.3,0.305,0.305,0.3,323.00K,-1.64%
"Mar 19, 2019",0.305,0.31,0.31,0.305,250.10K,-1.61%
"Mar 18, 2019",0.31,0.31,0.31,0.305,120.40K,0.00%
"Mar 15, 2019",0.31,0.305,0.31,0.305,62.00K,1.64%
"Mar 14, 2019",0.305,0.305,0.31,0.3,330.70K,1.67%
"Mar 13, 2019",0.3,0.27,0.305,0.27,642.00K,11.11%
"Mar 12, 2019",0.27,0.27,0.27,0.27,12.00K,0.00%
"Mar 11, 2019",0.27,0.285,0.285,0.27,35.00K,0.00%
"Mar 08, 2019",0.27,0.27,0.275,0.27,80.00K,0.00%
"Mar 07, 2019",0.27,0.28,0.28,0.27,160.50K,-1.82%
"Mar 06, 2019",0.275,0.275,0.275,0.275,16.10K,3.77%
"Mar 04, 2019",0.265,0.275,0.28,0.265,65.50K,-5.36%
"Mar 01, 2019",0.28,0.27,0.28,0.27,74.90K,1.82%
"Feb 28, 2019",0.275,0.28,0.28,0.275,60.00K,-1.79%
"Feb 27, 2019",0.28,0.27,0.28,0.27,22.30K,3.70%
"Feb 26, 2019",0.27,0.27,0.29,0.27,99.50K,-1.82%
"Feb 25, 2019",0.275,0.27,0.285,0.27,36.00K,-3.51%
"Feb 22, 2019",0.285,0.27,0.285,0.27,3.70K,0.00%
"Feb 21, 2019",0.285,0.27,0.285,0.27,44.50K,0.00%
"Feb 20, 2019",0.285,0.29,0.29,0.28,83.00K,-1.72%
"Feb 19, 2019",0.29,0.27,0.29,0.27,459.70K,11.54%
"Feb 18, 2019",0.26,0.26,0.26,0.26,200.00K,0.00%
"Feb 15, 2019",0.26,0.255,0.26,0.255,183.00K,1.96%
"Feb 14, 2019",0.255,0.255,0.255,0.255,70.00K,0.00%
"Feb 13, 2019",0.255,0.255,0.26,0.255,131.20K,2.00%
"Feb 12, 2019",0.25,0.255,0.26,0.25,95.00K,-3.85%
"Feb 11, 2019",0.26,0.26,0.26,0.26,55.00K,4.00%
"Jan 31, 2019",0.25,0.25,0.25,0.25,35.00K,0.00%
"Jan 30, 2019",0.25,0.25,0.25,0.25,15.80K,0.00%
"Jan 29, 2019",0.25,0.25,0.25,0.25,20.00K,-3.85%
"Jan 28, 2019",0.26,0.26,0.26,0.26,25.00K,-1.89%
"Jan 25, 2019",0.265,0.265,0.265,0.265,45.50K,1.92%
"Jan 24, 2019",0.26,0.26,0.26,0.26,51.00K,1.96%
"Jan 23, 2019",0.255,0.255,0.255,0.255,36.60K,2.00%
"Jan 22, 2019",0.25,0.27,0.27,0.25,180.00K,-10.71%
"Jan 18, 2019",0.28,0.285,0.285,0.28,94.60K,-1.75%
"Jan 17, 2019",0.285,0.27,0.285,0.27,318.70K,5.56%
"Jan 16, 2019",0.27,0.265,0.27,0.265,55.00K,1.89%
"Jan 15, 2019",0.265,0.26,0.265,0.26,70.00K,0.00%
"Jan 14, 2019",0.265,0.265,0.27,0.26,356.80K,1.92%
"Jan 11, 2019",0.26,0.26,0.26,0.26,162.10K,4.00%
"Jan 10, 2019",0.25,0.245,0.25,0.245,135.30K,2.04%
"Jan 09, 2019",0.245,0.25,0.25,0.245,55.00K,0.00%
"Jan 08, 2019",0.245,0.245,0.25,0.24,233.00K,0.00%
"Jan 07, 2019",0.245,0.245,0.245,0.24,407.50K,4.26%
"Jan 04, 2019",0.235,0.24,0.25,0.23,849.20K,9.30%
"Jan 02, 2019",0.215,0.225,0.225,0.215,153.70K,-2.27%
