Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",0.31,0.31,0.315,0.305,255.50K,0.00%
"Mar 28, 2019",0.31,0.315,0.315,0.31,59.90K,-3.12%
"Mar 27, 2019",0.32,0.31,0.32,0.31,242.50K,3.23%
"Mar 26, 2019",0.31,0.31,0.315,0.31,222.20K,0.00%
"Mar 25, 2019",0.31,0.315,0.315,0.31,234.60K,-1.59%
"Mar 22, 2019",0.315,0.315,0.315,0.315,379.40K,-1.56%
"Mar 21, 2019",0.32,0.32,0.32,0.315,760.50K,-1.54%
"Mar 20, 2019",0.325,0.32,0.325,0.32,444.30K,1.56%
"Mar 19, 2019",0.32,0.34,0.34,0.32,650.70K,-8.57%
"Mar 18, 2019",0.35,0.35,0.365,0.345,779.00K,0.00%
"Mar 15, 2019",0.35,0.335,0.355,0.335,2.31M,6.06%
"Mar 14, 2019",0.33,0.32,0.335,0.32,697.40K,3.13%
"Mar 13, 2019",0.32,0.315,0.32,0.315,133.00K,3.23%
"Mar 12, 2019",0.31,0.31,0.32,0.31,355.70K,0.00%
"Mar 11, 2019",0.31,0.315,0.315,0.31,398.60K,-1.59%
"Mar 08, 2019",0.315,0.32,0.32,0.315,559.50K,-4.55%
"Mar 07, 2019",0.33,0.325,0.33,0.32,813.20K,1.54%
"Mar 06, 2019",0.325,0.325,0.335,0.325,557.60K,0.00%
"Mar 05, 2019",0.325,0.33,0.33,0.325,369.30K,-1.52%
"Mar 04, 2019",0.33,0.325,0.34,0.32,1.60M,-1.49%
"Mar 01, 2019",0.335,0.315,0.335,0.315,659.70K,6.35%
"Feb 28, 2019",0.315,0.315,0.32,0.31,914.30K,-3.08%
"Feb 27, 2019",0.325,0.335,0.335,0.32,2.01M,-4.41%
"Feb 26, 2019",0.34,0.36,0.36,0.34,966.80K,-6.85%
"Feb 25, 2019",0.365,0.365,0.375,0.36,580.30K,0.00%
"Feb 22, 2019",0.365,0.375,0.385,0.365,2.30M,-1.35%
"Feb 21, 2019",0.37,0.375,0.385,0.37,6.24M,-2.63%
"Feb 20, 2019",0.38,0.395,0.395,0.38,11.19M,-3.80%
"Feb 19, 2019",0.395,0.395,0.395,0.38,5.70M,1.28%
"Feb 18, 2019",0.39,0.415,0.415,0.39,10.18M,-6.02%
"Feb 15, 2019",0.415,0.42,0.425,0.415,12.54M,-1.19%
"Feb 14, 2019",0.42,0.425,0.435,0.415,17.16M,0.00%
"Feb 13, 2019",0.42,0.435,0.435,0.415,8.09M,-3.45%
"Feb 12, 2019",0.435,0.43,0.44,0.43,15.12M,1.16%
"Feb 11, 2019",0.43,0.44,0.45,0.415,71.54M,2.38%
"Feb 08, 2019",0.42,0.395,0.425,0.395,6.45M,5.00%
"Feb 07, 2019",0.4,0.37,0.405,0.37,17.35M,8.11%
"Feb 04, 2019",0.37,0.34,0.38,0.34,5.78M,8.82%
"Jan 31, 2019",0.34,0.32,0.345,0.32,2.68M,6.25%
"Jan 29, 2019",0.32,0.31,0.32,0.31,167.50K,1.59%
"Jan 28, 2019",0.315,0.315,0.315,0.315,21.00K,0.00%
"Jan 25, 2019",0.315,0.31,0.315,0.31,60.00K,-1.56%
"Jan 24, 2019",0.32,0.31,0.32,0.31,273.40K,1.59%
"Jan 23, 2019",0.315,0.31,0.315,0.31,76.00K,-1.56%
"Jan 22, 2019",0.32,0.315,0.32,0.31,141.00K,3.23%
"Jan 18, 2019",0.31,0.31,0.31,0.31,101.00K,0.00%
"Jan 17, 2019",0.31,0.32,0.32,0.31,299.00K,-3.12%
"Jan 15, 2019",0.32,0.315,0.32,0.315,688.10K,0.00%
"Jan 14, 2019",0.32,0.32,0.325,0.315,158.20K,1.59%
"Jan 11, 2019",0.315,0.31,0.32,0.31,64.20K,1.61%
"Jan 10, 2019",0.31,0.305,0.31,0.305,219.00K,-3.12%
"Jan 09, 2019",0.32,0.32,0.32,0.31,160.00K,0.00%
"Jan 08, 2019",0.32,0.305,0.32,0.305,136.30K,0.00%
"Jan 07, 2019",0.32,0.31,0.32,0.305,105.00K,6.67%
"Jan 04, 2019",0.3,0.3,0.3,0.3,10.00K,-3.23%
"Jan 03, 2019",0.31,0.3,0.31,0.3,72.00K,0.00%
"Jan 02, 2019",0.31,0.315,0.315,0.31,120.60K,-1.59%
