Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",0.22,0.22,0.225,0.22,834.20K,-2.22%
"Mar 28, 2019",0.225,0.225,0.225,0.22,249.70K,2.27%
"Mar 27, 2019",0.22,0.225,0.225,0.22,750.70K,-2.22%
"Mar 26, 2019",0.225,0.225,0.225,0.225,16.90K,0.00%
"Mar 25, 2019",0.225,0.22,0.23,0.22,167.40K,-2.17%
"Mar 22, 2019",0.23,0.225,0.23,0.225,358.00K,2.22%
"Mar 21, 2019",0.225,0.225,0.225,0.22,1.28M,-2.17%
"Mar 20, 2019",0.23,0.225,0.23,0.225,280.40K,2.22%
"Mar 19, 2019",0.225,0.23,0.23,0.225,551.00K,-2.17%
"Mar 18, 2019",0.23,0.235,0.235,0.23,590.80K,-2.13%
"Mar 15, 2019",0.235,0.23,0.255,0.225,6.44M,4.44%
"Mar 14, 2019",0.225,0.225,0.23,0.225,567.60K,0.00%
"Mar 13, 2019",0.225,0.225,0.23,0.22,776.00K,0.00%
"Mar 12, 2019",0.225,0.23,0.23,0.225,179.50K,0.00%
"Mar 11, 2019",0.225,0.225,0.23,0.22,512.90K,-2.17%
"Mar 08, 2019",0.23,0.235,0.235,0.225,947.70K,-4.17%
"Mar 07, 2019",0.24,0.235,0.24,0.23,216.00K,2.13%
"Mar 06, 2019",0.235,0.23,0.235,0.23,257.30K,4.44%
"Mar 05, 2019",0.225,0.225,0.23,0.225,48.40K,0.00%
"Mar 04, 2019",0.225,0.225,0.24,0.225,417.40K,2.27%
"Mar 01, 2019",0.22,0.22,0.225,0.215,456.60K,0.00%
"Feb 28, 2019",0.22,0.22,0.22,0.215,1.17M,0.00%
"Feb 27, 2019",0.22,0.225,0.225,0.22,1.40M,-2.22%
"Feb 26, 2019",0.225,0.24,0.24,0.225,2.75M,-10.00%
"Feb 25, 2019",0.25,0.255,0.255,0.25,593.20K,-1.96%
"Feb 22, 2019",0.255,0.26,0.26,0.25,1.04M,-3.77%
"Feb 21, 2019",0.265,0.245,0.265,0.245,4.32M,8.16%
"Feb 20, 2019",0.245,0.245,0.245,0.24,410.70K,0.00%
"Feb 19, 2019",0.245,0.245,0.25,0.24,1.54M,0.00%
"Feb 18, 2019",0.245,0.245,0.245,0.24,2.03M,2.08%
"Feb 15, 2019",0.24,0.245,0.25,0.24,2.51M,0.00%
"Feb 14, 2019",0.24,0.24,0.245,0.24,1.11M,2.13%
"Feb 13, 2019",0.235,0.25,0.25,0.235,647.30K,-6.00%
"Feb 12, 2019",0.25,0.25,0.25,0.245,2.15M,0.00%
"Feb 11, 2019",0.25,0.225,0.25,0.225,8.02M,13.64%
"Feb 08, 2019",0.22,0.225,0.225,0.22,386.90K,-2.22%
"Feb 07, 2019",0.225,0.22,0.225,0.215,529.80K,0.00%
"Feb 04, 2019",0.225,0.22,0.225,0.21,884.90K,2.27%
"Jan 31, 2019",0.22,0.21,0.23,0.21,4.54M,4.76%
"Jan 30, 2019",0.21,0.21,0.21,0.205,1.41M,2.44%
"Jan 29, 2019",0.205,0.205,0.21,0.205,189.70K,-2.38%
"Jan 28, 2019",0.21,0.21,0.21,0.205,296.30K,0.00%
"Jan 25, 2019",0.21,0.21,0.21,0.205,380.30K,2.44%
"Jan 24, 2019",0.205,0.21,0.21,0.205,1.58M,-2.38%
"Jan 23, 2019",0.21,0.205,0.22,0.205,2.04M,2.44%
"Jan 22, 2019",0.205,0.205,0.21,0.205,297.30K,-2.38%
"Jan 18, 2019",0.21,0.21,0.21,0.21,107.10K,0.00%
"Jan 17, 2019",0.21,0.21,0.215,0.205,896.00K,2.44%
"Jan 16, 2019",0.205,0.215,0.215,0.205,1.02M,-2.38%
"Jan 15, 2019",0.21,0.21,0.21,0.205,75.20K,-4.55%
"Jan 14, 2019",0.22,0.225,0.225,0.205,635.20K,-2.22%
"Jan 11, 2019",0.225,0.215,0.23,0.21,2.90M,7.14%
"Jan 10, 2019",0.21,0.205,0.21,0.205,487.20K,5.00%
"Jan 09, 2019",0.2,0.21,0.215,0.2,1.93M,-4.76%
"Jan 08, 2019",0.21,0.195,0.21,0.195,1.67M,7.69%
"Jan 07, 2019",0.195,0.2,0.2,0.195,440.00K,-2.50%
"Jan 04, 2019",0.2,0.195,0.2,0.195,270.00K,2.56%
"Jan 03, 2019",0.195,0.195,0.195,0.19,107.50K,0.00%
"Jan 02, 2019",0.195,0.195,0.2,0.195,127.50K,0.00%
