Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",0.48,0.475,0.485,0.46,1.25M,2.13%
"Mar 28, 2019",0.47,0.49,0.49,0.465,1.76M,-4.08%
"Mar 27, 2019",0.49,0.495,0.5,0.475,1.88M,-1.01%
"Mar 26, 2019",0.495,0.525,0.525,0.495,1.11M,-3.88%
"Mar 25, 2019",0.515,0.52,0.525,0.51,1.10M,-1.90%
"Mar 22, 2019",0.525,0.525,0.53,0.515,917.50K,0.96%
"Mar 21, 2019",0.52,0.535,0.54,0.505,2.57M,-1.89%
"Mar 20, 2019",0.53,0.545,0.545,0.53,849.40K,-0.93%
"Mar 19, 2019",0.535,0.57,0.57,0.53,1.50M,-3.60%
"Mar 18, 2019",0.555,0.575,0.575,0.55,3.03M,-3.48%
"Mar 15, 2019",0.575,0.54,0.6,0.53,9.07M,7.48%
"Mar 14, 2019",0.535,0.53,0.55,0.53,3.57M,1.90%
"Mar 13, 2019",0.525,0.52,0.525,0.51,2.03M,1.94%
"Mar 12, 2019",0.515,0.515,0.525,0.51,1.25M,0.00%
"Mar 11, 2019",0.515,0.52,0.525,0.5,2.46M,0.98%
"Mar 08, 2019",0.51,0.495,0.51,0.49,1.79M,4.08%
"Mar 07, 2019",0.49,0.51,0.52,0.485,2.85M,-5.77%
"Mar 06, 2019",0.52,0.52,0.535,0.505,3.76M,0.97%
"Mar 05, 2019",0.515,0.49,0.52,0.485,6.70M,5.10%
"Mar 04, 2019",0.49,0.475,0.505,0.475,3.05M,3.16%
"Mar 01, 2019",0.475,0.465,0.475,0.455,5.11M,-1.04%
"Feb 28, 2019",0.48,0.48,0.485,0.47,8.11M,1.05%
"Feb 27, 2019",0.475,0.435,0.5,0.435,7.73M,9.20%
"Feb 26, 2019",0.435,0.435,0.44,0.425,993.50K,0.00%
"Feb 25, 2019",0.435,0.44,0.445,0.43,2.45M,1.16%
"Feb 22, 2019",0.43,0.41,0.44,0.41,6.65M,6.17%
"Feb 21, 2019",0.405,0.41,0.42,0.405,874.10K,-1.22%
"Feb 20, 2019",0.41,0.415,0.415,0.405,608.00K,0.00%
"Feb 19, 2019",0.41,0.41,0.42,0.405,2.00M,0.00%
"Feb 18, 2019",0.41,0.4,0.42,0.39,3.26M,3.80%
"Feb 15, 2019",0.395,0.405,0.415,0.39,2.84M,-2.47%
"Feb 14, 2019",0.405,0.415,0.425,0.4,1.32M,-1.22%
"Feb 13, 2019",0.41,0.4,0.415,0.395,450.60K,2.50%
"Feb 12, 2019",0.4,0.395,0.405,0.395,166.20K,-1.23%
"Feb 11, 2019",0.405,0.415,0.42,0.395,2.15M,-2.41%
"Feb 08, 2019",0.415,0.41,0.415,0.4,1.11M,1.22%
"Feb 07, 2019",0.41,0.4,0.42,0.395,1.70M,2.50%
"Feb 04, 2019",0.4,0.4,0.42,0.395,677.40K,3.90%
"Jan 31, 2019",0.385,0.37,0.41,0.365,1.22M,4.05%
"Jan 30, 2019",0.37,0.375,0.375,0.365,311.40K,-2.63%
"Jan 29, 2019",0.38,0.37,0.385,0.37,306.50K,0.00%
"Jan 28, 2019",0.38,0.375,0.38,0.375,36.50K,1.33%
"Jan 25, 2019",0.375,0.38,0.385,0.375,228.00K,-1.32%
"Jan 24, 2019",0.38,0.38,0.39,0.375,420.00K,0.00%
"Jan 23, 2019",0.38,0.385,0.385,0.38,116.00K,-2.56%
"Jan 22, 2019",0.39,0.385,0.395,0.38,859.60K,2.63%
"Jan 18, 2019",0.38,0.38,0.385,0.38,151.80K,1.33%
"Jan 17, 2019",0.375,0.37,0.385,0.365,823.40K,1.35%
"Jan 16, 2019",0.37,0.37,0.38,0.365,460.30K,0.00%
"Jan 15, 2019",0.37,0.37,0.375,0.35,668.30K,-2.63%
"Jan 14, 2019",0.38,0.385,0.385,0.38,55.00K,-2.56%
"Jan 11, 2019",0.39,0.385,0.39,0.375,290.70K,4.00%
"Jan 10, 2019",0.375,0.37,0.39,0.37,1.50M,2.74%
"Jan 09, 2019",0.365,0.365,0.375,0.36,869.70K,0.00%
"Jan 08, 2019",0.365,0.355,0.365,0.35,459.50K,0.00%
"Jan 07, 2019",0.365,0.35,0.365,0.35,1.14M,5.80%
"Jan 04, 2019",0.345,0.34,0.35,0.34,244.80K,1.47%
"Jan 03, 2019",0.34,0.335,0.355,0.335,767.50K,-1.45%
"Jan 02, 2019",0.345,0.35,0.35,0.325,1.11M,0.00%
