Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",0.58,0.59,0.59,0.58,2.71M,0.00%
"Mar 28, 2019",0.58,0.58,0.59,0.575,1.64M,0.00%
"Mar 27, 2019",0.58,0.62,0.62,0.58,11.93M,-4.92%
"Mar 26, 2019",0.61,0.595,0.615,0.585,11.22M,5.17%
"Mar 25, 2019",0.58,0.57,0.595,0.565,8.48M,0.00%
"Mar 22, 2019",0.58,0.58,0.6,0.58,5.02M,0.00%
"Mar 21, 2019",0.58,0.595,0.605,0.58,6.17M,-2.52%
"Mar 20, 2019",0.595,0.6,0.615,0.585,4.52M,-0.83%
"Mar 19, 2019",0.6,0.62,0.625,0.6,4.66M,-3.23%
"Mar 18, 2019",0.62,0.62,0.635,0.61,10.70M,1.64%
"Mar 15, 2019",0.61,0.59,0.64,0.59,36.35M,5.17%
"Mar 14, 2019",0.58,0.58,0.585,0.57,2.02M,0.87%
"Mar 13, 2019",0.575,0.565,0.585,0.565,5.31M,1.77%
"Mar 12, 2019",0.565,0.57,0.57,0.56,1.16M,-0.88%
"Mar 11, 2019",0.57,0.58,0.58,0.565,1.67M,-0.87%
"Mar 08, 2019",0.575,0.57,0.59,0.57,4.28M,0.88%
"Mar 07, 2019",0.57,0.56,0.59,0.56,6.47M,1.79%
"Mar 06, 2019",0.56,0.555,0.565,0.55,2.47M,0.90%
"Mar 05, 2019",0.555,0.56,0.565,0.555,1.71M,-1.77%
"Mar 04, 2019",0.565,0.57,0.575,0.56,3.41M,-0.88%
"Mar 01, 2019",0.57,0.555,0.575,0.55,6.00M,2.70%
"Feb 28, 2019",0.555,0.545,0.56,0.54,3.31M,1.83%
"Feb 27, 2019",0.545,0.545,0.555,0.54,3.66M,-2.68%
"Feb 26, 2019",0.56,0.575,0.575,0.55,4.50M,-2.61%
"Feb 25, 2019",0.575,0.595,0.595,0.575,2.03M,-3.36%
"Feb 22, 2019",0.595,0.6,0.6,0.59,1.85M,-0.83%
"Feb 21, 2019",0.6,0.61,0.615,0.59,4.66M,0.00%
"Feb 20, 2019",0.6,0.58,0.61,0.58,10.82M,4.35%
"Feb 19, 2019",0.575,0.56,0.585,0.555,3.51M,1.77%
"Feb 18, 2019",0.565,0.57,0.57,0.555,2.50M,0.89%
"Feb 15, 2019",0.56,0.575,0.575,0.56,2.32M,-2.61%
"Feb 14, 2019",0.575,0.58,0.58,0.57,2.47M,-0.86%
"Feb 13, 2019",0.58,0.565,0.58,0.56,3.27M,3.57%
"Feb 12, 2019",0.56,0.605,0.61,0.56,7.81M,-7.44%
"Feb 11, 2019",0.605,0.58,0.61,0.56,10.30M,5.22%
"Feb 08, 2019",0.575,0.57,0.575,0.555,1.63M,0.88%
"Feb 07, 2019",0.57,0.55,0.575,0.545,3.70M,4.59%
"Feb 04, 2019",0.545,0.55,0.555,0.535,863.20K,0.93%
"Jan 31, 2019",0.54,0.545,0.56,0.54,4.42M,-1.82%
"Jan 30, 2019",0.55,0.58,0.585,0.545,5.88M,-4.35%
"Jan 29, 2019",0.575,0.56,0.58,0.555,10.39M,0.88%
"Jan 28, 2019",0.57,0.555,0.59,0.535,12.09M,2.70%
"Jan 25, 2019",0.555,0.545,0.56,0.535,8.12M,2.78%
"Jan 24, 2019",0.54,0.5,0.545,0.5,22.13M,8.00%
"Jan 23, 2019",0.5,0.48,0.505,0.47,6.25M,3.09%
"Jan 22, 2019",0.485,0.51,0.515,0.48,3.52M,-4.90%
"Jan 18, 2019",0.51,0.515,0.525,0.495,6.92M,-0.97%
"Jan 17, 2019",0.515,0.505,0.525,0.49,22.90M,4.04%
"Jan 16, 2019",0.495,0.45,0.495,0.44,25.16M,11.24%
"Jan 15, 2019",0.445,0.435,0.45,0.43,6.51M,3.49%
"Jan 14, 2019",0.43,0.445,0.445,0.43,3.76M,-1.15%
"Jan 11, 2019",0.435,0.425,0.45,0.425,9.17M,3.57%
"Jan 10, 2019",0.42,0.43,0.435,0.42,4.27M,0.00%
"Jan 09, 2019",0.42,0.42,0.44,0.42,9.03M,1.20%
"Jan 08, 2019",0.415,0.425,0.425,0.415,1.20M,-1.19%
"Jan 07, 2019",0.42,0.425,0.43,0.42,1.79M,-1.18%
"Jan 04, 2019",0.425,0.405,0.435,0.405,3.41M,2.41%
"Jan 03, 2019",0.415,0.41,0.42,0.4,2.62M,2.47%
"Jan 02, 2019",0.405,0.42,0.425,0.4,4.45M,-4.71%
