Date,Price,Open,High,Low,Vol.,Change %
"Mar 22, 2019",0.395,0.42,0.42,0.395,0.20K,-2.47%
"Mar 21, 2019",0.405,0.41,0.41,0.405,12.90K,0.00%
"Mar 19, 2019",0.405,0.405,0.405,0.405,0.10K,-1.22%
"Mar 14, 2019",0.41,0.41,0.41,0.41,21.00K,-1.20%
"Mar 12, 2019",0.415,0.415,0.415,0.415,20.00K,0.00%
"Mar 08, 2019",0.415,0.42,0.435,0.415,23.10K,-1.19%
"Mar 04, 2019",0.42,0.39,0.425,0.39,1.50K,1.20%
"Mar 01, 2019",0.415,0.41,0.43,0.41,52.00K,1.22%
"Feb 25, 2019",0.41,0.41,0.41,0.41,1.00K,2.50%
"Feb 22, 2019",0.4,0.4,0.4,0.4,4.90K,0.00%
"Feb 21, 2019",0.4,0.4,0.4,0.4,0.10K,6.67%
"Feb 20, 2019",0.375,0.375,0.375,0.375,10.00K,4.17%
"Feb 18, 2019",0.36,0.385,0.385,0.36,20.00K,-2.70%
"Feb 04, 2019",0.37,0.425,0.425,0.37,0.20K,-1.33%
"Jan 30, 2019",0.375,0.375,0.375,0.375,4.00K,1.35%
"Jan 29, 2019",0.37,0.4,0.43,0.365,23.30K,0.00%
"Jan 28, 2019",0.37,0.37,0.37,0.37,3.70K,0.00%
"Jan 18, 2019",0.37,0.37,0.37,0.37,1.00K,1.37%
"Jan 16, 2019",0.365,0.365,0.365,0.365,3.70K,-17.05%
"Jan 09, 2019",0.44,0.44,0.44,0.44,5.00K,15.79%
"Jan 08, 2019",0.38,0.4,0.4,0.38,22.00K,0.00%
"Jan 07, 2019",0.38,0.38,0.38,0.38,6.00K,-9.52%
"Jan 03, 2019",0.42,0.39,0.435,0.39,36.50K,27.27%
"Jan 02, 2019",0.33,0.33,0.33,0.33,11.20K,-5.71%
