Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",0.23,0.23,0.235,0.23,2.74M,0.00%
"Mar 28, 2019",0.23,0.23,0.235,0.225,3.89M,0.00%
"Mar 27, 2019",0.23,0.235,0.235,0.23,3.55M,-2.13%
"Mar 26, 2019",0.235,0.235,0.24,0.23,1.73M,0.00%
"Mar 25, 2019",0.235,0.24,0.24,0.235,2.91M,-4.08%
"Mar 22, 2019",0.245,0.245,0.245,0.235,2.94M,0.00%
"Mar 21, 2019",0.245,0.245,0.25,0.235,4.35M,0.00%
"Mar 20, 2019",0.245,0.24,0.245,0.235,2.12M,0.00%
"Mar 19, 2019",0.245,0.265,0.265,0.24,6.46M,-7.55%
"Mar 18, 2019",0.265,0.28,0.285,0.26,8.83M,-3.64%
"Mar 15, 2019",0.275,0.24,0.275,0.235,22.43M,17.02%
"Mar 14, 2019",0.235,0.235,0.255,0.23,12.91M,0.00%
"Mar 13, 2019",0.235,0.23,0.25,0.225,9.32M,0.00%
"Mar 12, 2019",0.235,0.23,0.235,0.225,3.58M,2.17%
"Mar 11, 2019",0.23,0.24,0.24,0.225,2.30M,-4.17%
"Mar 08, 2019",0.24,0.245,0.255,0.235,16.85M,2.13%
"Mar 07, 2019",0.235,0.225,0.24,0.225,7.15M,4.44%
"Mar 06, 2019",0.225,0.225,0.225,0.225,386.50K,0.00%
"Mar 05, 2019",0.225,0.225,0.23,0.225,2.39M,0.00%
"Mar 04, 2019",0.225,0.225,0.235,0.22,3.01M,2.27%
"Mar 01, 2019",0.22,0.22,0.225,0.22,1.22M,-2.22%
"Feb 28, 2019",0.225,0.225,0.235,0.225,3.53M,2.27%
"Feb 27, 2019",0.22,0.22,0.23,0.22,6.08M,0.00%
"Feb 26, 2019",0.22,0.23,0.23,0.22,1.15M,-2.22%
"Feb 25, 2019",0.225,0.225,0.23,0.22,3.77M,0.00%
"Feb 22, 2019",0.225,0.225,0.225,0.22,747.60K,0.00%
"Feb 21, 2019",0.225,0.225,0.225,0.22,2.45M,-2.17%
"Feb 20, 2019",0.23,0.22,0.23,0.22,3.99M,4.55%
"Feb 19, 2019",0.22,0.22,0.225,0.215,4.80M,0.00%
"Feb 18, 2019",0.22,0.225,0.225,0.22,2.23M,-2.22%
"Feb 15, 2019",0.225,0.225,0.23,0.225,1.78M,0.00%
"Feb 14, 2019",0.225,0.235,0.24,0.215,17.11M,-4.26%
"Feb 13, 2019",0.235,0.22,0.255,0.22,21.19M,9.30%
"Feb 12, 2019",0.215,0.22,0.22,0.215,779.50K,-2.27%
"Feb 11, 2019",0.22,0.22,0.22,0.21,1.43M,0.00%
"Feb 08, 2019",0.22,0.215,0.22,0.21,867.10K,2.33%
"Feb 07, 2019",0.215,0.215,0.22,0.21,1.25M,-2.27%
"Feb 04, 2019",0.22,0.22,0.22,0.215,118.10K,0.00%
"Jan 31, 2019",0.22,0.22,0.23,0.215,2.89M,0.00%
"Jan 30, 2019",0.22,0.21,0.225,0.21,3.19M,4.76%
"Jan 29, 2019",0.21,0.215,0.215,0.205,2.46M,0.00%
"Jan 28, 2019",0.21,0.215,0.225,0.21,2.56M,-2.33%
"Jan 25, 2019",0.215,0.215,0.23,0.21,6.71M,0.00%
"Jan 24, 2019",0.215,0.23,0.23,0.215,2.35M,-6.52%
"Jan 23, 2019",0.23,0.24,0.25,0.225,9.71M,6.98%
"Jan 22, 2019",0.215,0.215,0.215,0.21,231.90K,0.00%
"Jan 18, 2019",0.215,0.22,0.22,0.215,1.17M,-2.27%
"Jan 17, 2019",0.22,0.22,0.23,0.22,1.69M,0.00%
"Jan 16, 2019",0.22,0.215,0.22,0.215,238.60K,2.33%
"Jan 15, 2019",0.215,0.215,0.215,0.21,869.30K,0.00%
"Jan 14, 2019",0.215,0.225,0.225,0.21,1.33M,-4.44%
"Jan 11, 2019",0.225,0.22,0.24,0.22,2.90M,2.27%
"Jan 10, 2019",0.22,0.225,0.225,0.22,463.50K,-2.22%
"Jan 09, 2019",0.225,0.225,0.235,0.225,464.80K,0.00%
"Jan 08, 2019",0.225,0.23,0.235,0.22,346.40K,-2.17%
"Jan 07, 2019",0.23,0.215,0.235,0.215,2.68M,6.98%
"Jan 04, 2019",0.215,0.215,0.215,0.205,328.90K,2.38%
"Jan 03, 2019",0.21,0.21,0.215,0.21,280.60K,2.44%
"Jan 02, 2019",0.205,0.215,0.215,0.205,1.01M,-6.82%
