Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",0.755,0.76,0.76,0.755,74.40K,0.00%
"Mar 28, 2019",0.755,0.76,0.76,0.755,88.00K,0.00%
"Mar 27, 2019",0.755,0.78,0.78,0.755,152.80K,-5.03%
"Mar 26, 2019",0.795,0.79,0.8,0.785,329.10K,0.63%
"Mar 25, 2019",0.79,0.8,0.805,0.79,275.60K,-1.25%
"Mar 22, 2019",0.8,0.805,0.805,0.8,61.80K,-0.62%
"Mar 21, 2019",0.805,0.81,0.81,0.795,312.60K,-0.62%
"Mar 20, 2019",0.81,0.785,0.81,0.785,359.30K,2.53%
"Mar 19, 2019",0.79,0.79,0.79,0.785,73.80K,0.00%
"Mar 18, 2019",0.79,0.78,0.79,0.78,103.20K,1.28%
"Mar 15, 2019",0.78,0.78,0.785,0.78,258.10K,-1.27%
"Mar 14, 2019",0.79,0.785,0.795,0.78,37.50K,1.28%
"Mar 13, 2019",0.78,0.785,0.785,0.78,18.20K,0.00%
"Mar 12, 2019",0.78,0.775,0.79,0.775,170.00K,0.65%
"Mar 11, 2019",0.775,0.785,0.785,0.775,249.40K,-1.27%
"Mar 08, 2019",0.785,0.78,0.785,0.775,72.60K,0.00%
"Mar 07, 2019",0.785,0.78,0.79,0.78,93.60K,0.00%
"Mar 06, 2019",0.785,0.795,0.795,0.78,265.40K,0.64%
"Mar 05, 2019",0.78,0.795,0.795,0.78,227.30K,-0.64%
"Mar 04, 2019",0.785,0.795,0.795,0.78,186.30K,0.64%
"Mar 01, 2019",0.78,0.78,0.785,0.775,255.70K,1.96%
"Feb 28, 2019",0.765,0.745,0.79,0.745,196.80K,3.38%
"Feb 27, 2019",0.74,0.775,0.795,0.74,960.20K,-4.52%
"Feb 26, 2019",0.775,0.78,0.78,0.775,109.80K,-0.64%
"Feb 25, 2019",0.78,0.79,0.79,0.765,52.30K,-1.27%
"Feb 22, 2019",0.79,0.78,0.79,0.765,103.00K,-0.63%
"Feb 21, 2019",0.795,0.785,0.795,0.785,55.10K,0.00%
"Feb 20, 2019",0.795,0.8,0.83,0.795,757.70K,-0.62%
"Feb 19, 2019",0.8,0.745,0.81,0.74,1.02M,8.11%
"Feb 18, 2019",0.74,0.74,0.745,0.735,74.00K,0.68%
"Feb 15, 2019",0.735,0.735,0.74,0.73,91.60K,0.00%
"Feb 14, 2019",0.735,0.735,0.74,0.735,34.10K,0.00%
"Feb 13, 2019",0.735,0.74,0.74,0.735,69.20K,-0.68%
"Feb 12, 2019",0.74,0.74,0.745,0.735,352.70K,0.00%
"Feb 11, 2019",0.74,0.705,0.74,0.7,494.20K,5.71%
"Feb 08, 2019",0.7,0.7,0.705,0.695,146.70K,0.72%
"Feb 07, 2019",0.695,0.7,0.705,0.695,22.70K,-0.71%
"Feb 04, 2019",0.7,0.705,0.705,0.7,186.10K,-0.71%
"Jan 31, 2019",0.705,0.705,0.71,0.705,157.80K,0.00%
"Jan 30, 2019",0.705,0.7,0.71,0.695,226.30K,0.71%
"Jan 29, 2019",0.7,0.71,0.71,0.695,323.70K,0.00%
"Jan 28, 2019",0.7,0.715,0.715,0.695,324.10K,-2.10%
"Jan 25, 2019",0.715,0.71,0.715,0.7,150.10K,2.14%
"Jan 24, 2019",0.7,0.7,0.7,0.69,34.30K,-0.71%
"Jan 23, 2019",0.705,0.705,0.71,0.7,29.00K,0.71%
"Jan 22, 2019",0.7,0.7,0.7,0.7,134.20K,0.00%
"Jan 18, 2019",0.7,0.7,0.705,0.695,448.10K,0.00%
"Jan 17, 2019",0.7,0.72,0.72,0.695,556.90K,0.00%
"Jan 16, 2019",0.7,0.7,0.71,0.695,1.10M,0.00%
"Jan 15, 2019",0.7,0.695,0.7,0.695,517.00K,0.72%
"Jan 14, 2019",0.695,0.695,0.7,0.695,830.10K,0.00%
"Jan 11, 2019",0.695,0.695,0.705,0.69,657.50K,0.00%
"Jan 10, 2019",0.695,0.7,0.71,0.69,307.30K,-0.71%
"Jan 09, 2019",0.7,0.7,0.72,0.695,138.40K,1.45%
"Jan 08, 2019",0.69,0.695,0.7,0.69,38.90K,0.00%
"Jan 07, 2019",0.69,0.7,0.7,0.69,72.30K,-1.43%
"Jan 04, 2019",0.7,0.675,0.705,0.675,123.50K,2.94%
"Jan 03, 2019",0.68,0.68,0.685,0.67,163.40K,1.49%
"Jan 02, 2019",0.67,0.68,0.68,0.66,167.30K,-2.19%
