Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",8.7,8.7,8.72,8.64,1.80M,0.46%
"Mar 28, 2019",8.66,8.7,8.71,8.66,717.00K,-0.46%
"Mar 27, 2019",8.7,8.5,8.72,8.5,894.30K,2.23%
"Mar 26, 2019",8.51,8.68,8.7,8.5,635.30K,-1.96%
"Mar 25, 2019",8.68,8.78,8.78,8.67,551.40K,-0.23%
"Mar 22, 2019",8.7,8.78,8.78,8.68,5.15M,-0.23%
"Mar 21, 2019",8.72,8.78,8.79,8.71,2.13M,0.46%
"Mar 20, 2019",8.68,8.7,8.71,8.64,1.11M,-0.23%
"Mar 19, 2019",8.7,8.82,8.82,8.69,874.90K,0.00%
"Mar 18, 2019",8.7,8.79,8.82,8.67,1.04M,-0.91%
"Mar 15, 2019",8.78,8.35,8.85,8.35,903.40K,2.21%
"Mar 14, 2019",8.59,8.59,8.76,8.55,429.00K,0.00%
"Mar 13, 2019",8.59,8.46,8.59,8.46,659.80K,1.66%
"Mar 12, 2019",8.45,8.53,8.53,8.44,555.90K,-0.47%
"Mar 11, 2019",8.49,8.5,8.53,8.46,1.86M,0.00%
"Mar 08, 2019",8.49,8.36,8.49,8.36,1.20M,1.43%
"Mar 07, 2019",8.37,8.39,8.42,8.31,398.30K,-0.24%
"Mar 06, 2019",8.39,8.39,8.39,8.38,143.90K,-0.47%
"Mar 05, 2019",8.43,8.49,8.49,8.25,851.60K,0.00%
"Mar 04, 2019",8.43,8.09,8.55,8.09,1.02M,2.80%
"Mar 01, 2019",8.2,8.1,8.4,8,2.53M,5.81%
"Feb 28, 2019",7.75,8.09,8.2,7.75,324.20K,-5.37%
"Feb 27, 2019",8.19,8.19,8.19,8.11,3.08M,0.00%
"Feb 26, 2019",8.19,8.1,8.2,8.09,30.70K,1.11%
"Feb 25, 2019",8.1,8.11,8.11,8.09,143.30K,-1.22%
"Feb 22, 2019",8.2,8.25,8.25,8.2,912.40K,-0.61%
"Feb 21, 2019",8.25,8.32,8.33,8.2,237.50K,-0.84%
"Feb 20, 2019",8.32,8.11,8.32,8.11,6.33M,2.59%
"Feb 19, 2019",8.11,8.11,8.13,8.1,1.00M,0.12%
"Feb 18, 2019",8.1,8.1,8.13,8.1,856.50K,-1.10%
"Feb 15, 2019",8.19,8.09,8.25,8.09,15.30K,0.00%
"Feb 14, 2019",8.19,8.2,8.2,8.17,49.00K,-0.12%
"Feb 13, 2019",8.2,8.2,8.2,8.18,420.60K,0.00%
"Feb 12, 2019",8.2,8.23,8.24,8.15,736.80K,-0.36%
"Feb 11, 2019",8.23,8.2,8.25,8.14,226.10K,-1.56%
"Feb 08, 2019",8.36,8.04,8.36,8.04,1.21M,3.98%
"Feb 07, 2019",8.04,8.04,8.04,8.04,6.20K,-0.62%
"Feb 04, 2019",8.09,8.11,8.11,8.09,9.40K,-0.25%
"Jan 31, 2019",8.11,8.2,8.38,8.11,470.10K,-1.34%
"Jan 30, 2019",8.22,8.17,8.25,8.17,1.19M,0.61%
"Jan 29, 2019",8.17,8.3,8.3,8.17,129.90K,0.00%
"Jan 28, 2019",8.17,8.23,8.23,8.11,519.50K,-0.73%
"Jan 25, 2019",8.23,8.26,8.26,8.2,70.80K,0.00%
"Jan 24, 2019",8.23,8.3,8.33,8.2,30.70K,0.12%
"Jan 23, 2019",8.22,8.28,8.3,8.16,14.80K,-0.96%
"Jan 22, 2019",8.3,8.26,8.3,8.26,44.40K,0.48%
"Jan 18, 2019",8.26,8.39,8.39,8.2,57.90K,-0.12%
"Jan 17, 2019",8.27,8.42,8.42,8.26,33.60K,0.12%
"Jan 16, 2019",8.26,8.17,8.38,8.17,105.00K,-1.67%
"Jan 15, 2019",8.4,8.14,8.4,8.14,97.20K,0.72%
"Jan 14, 2019",8.34,8.1,8.4,8.1,28.40K,-1.88%
"Jan 11, 2019",8.5,8.05,8.5,7.92,121.60K,5.99%
"Jan 10, 2019",8.02,8.25,8.25,8.02,118.70K,-2.79%
"Jan 09, 2019",8.25,8.25,8.25,8.24,598.80K,0.00%
"Jan 08, 2019",8.25,8.1,8.25,8.1,24.80K,0.00%
"Jan 07, 2019",8.25,8.14,8.3,8.14,293.40K,-1.55%
"Jan 04, 2019",8.38,8.12,8.38,8.12,106.10K,3.08%
"Jan 03, 2019",8.13,8.11,8.15,7.92,62.60K,0.37%
