Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",0.15,0.155,0.155,0.15,27.60K,-3.23%
"Mar 27, 2019",0.155,0.155,0.155,0.155,10.00K,3.33%
"Mar 26, 2019",0.15,0.155,0.155,0.15,23.10K,-16.67%
"Mar 25, 2019",0.18,0.16,0.18,0.16,23.50K,16.13%
"Mar 22, 2019",0.155,0.155,0.155,0.155,70.00K,0.00%
"Mar 21, 2019",0.155,0.155,0.155,0.155,2.00K,-16.22%
"Mar 20, 2019",0.185,0.185,0.185,0.185,0.90K,15.63%
"Mar 19, 2019",0.16,0.155,0.16,0.155,33.30K,-5.88%
"Mar 15, 2019",0.17,0.18,0.18,0.16,31.00K,-5.56%
"Mar 14, 2019",0.18,0.18,0.195,0.18,10.10K,16.13%
"Mar 13, 2019",0.155,0.17,0.17,0.155,11.80K,-11.43%
"Mar 12, 2019",0.175,0.175,0.175,0.175,78.50K,-10.26%
"Mar 11, 2019",0.195,0.175,0.195,0.175,171.70K,11.43%
"Mar 08, 2019",0.175,0.18,0.18,0.16,21.80K,-2.78%
"Mar 07, 2019",0.18,0.145,0.185,0.145,132.40K,24.14%
"Mar 06, 2019",0.145,0.165,0.165,0.145,13.50K,-6.45%
"Mar 05, 2019",0.155,0.145,0.155,0.145,70.70K,-6.06%
"Mar 04, 2019",0.165,0.155,0.17,0.15,64.90K,-5.71%
"Mar 01, 2019",0.175,0.175,0.175,0.15,338.20K,0.00%
"Feb 28, 2019",0.175,0.18,0.18,0.175,95.00K,6.06%
"Feb 27, 2019",0.165,0.2,0.2,0.16,410.50K,-19.51%
"Feb 26, 2019",0.205,0.21,0.215,0.195,122.30K,-6.82%
"Feb 25, 2019",0.22,0.225,0.225,0.2,31.10K,-2.22%
"Feb 22, 2019",0.225,0.225,0.23,0.205,161.50K,4.65%
"Feb 21, 2019",0.215,0.205,0.24,0.205,760.50K,7.50%
"Feb 20, 2019",0.2,0.195,0.205,0.195,209.50K,2.56%
"Feb 19, 2019",0.195,0.2,0.215,0.19,397.50K,-2.50%
"Feb 18, 2019",0.2,0.21,0.22,0.2,204.20K,-9.09%
"Feb 15, 2019",0.22,0.25,0.26,0.2,422.30K,-12.00%
"Feb 14, 2019",0.25,0.265,0.275,0.25,96.10K,-1.96%
"Feb 13, 2019",0.255,0.28,0.285,0.255,781.50K,-5.56%
"Feb 12, 2019",0.27,0.26,0.29,0.25,1.32M,17.39%
"Feb 11, 2019",0.23,0.145,0.31,0.145,1.43M,100.00%
"Jan 31, 2019",0.115,0.115,0.15,0.11,81.00K,-11.54%
"Jan 30, 2019",0.13,0.13,0.13,0.13,1.20K,0.00%
"Jan 04, 2019",0.13,0.095,0.13,0.095,32.00K,4.00%
